player_id,sleeper_av,player_name,pos,age,team
4984,60,Josh Allen,QB,29.3,BUF
4881,57,Lamar Jackson,QB,28.6,BAL
7564,56,Ja'Marr Chase,WR,25.5,CIN
9509,54,Bijan Robinson,RB,23.6,ATL
11566,49,Jayden Daniels,QB,24.7,WAS
6794,47,Justin Jefferson,WR,26.2,MIN
6770,46,Joe Burrow,QB,28.7,CIN
9221,45,Jahmyr Gibbs,RB,23.4,DET
4866,45,Saquon Barkley,RB,28.5,PHI
6904,45,Jalen Hurts,QB,27.1,PHI
12527,43,Ashton Jeanty,RB,21.7,LV
6786,41,CeeDee Lamb,WR,26.4,DAL
11604,40,Brock Bowers,TE,22.7,LV
7547,40,Amon-Ra St. Brown,WR,25.8,DET
11632,37,Malik Nabers,WR,22.1,NYG
4034,37,Christian McCaffrey,RB,29.2,SF
3198,37,Derrick Henry,RB,31.6,BAL
9493,37,Puka Nacua,WR,24.2,LAR
4046,37,Patrick Mahomes,QB,29.9,KC
7569,36,Nico Collins,WR,26.4,HOU
11631,32,Brian Thomas,WR,22.9,JAX
9226,31,De'Von Achane,RB,23.9,MIA
8112,31,Drake London,WR,24.1,ATL
8130,31,Trey McBride,TE,25.8,ARI
11584,31,Bucky Irving,RB,23,TB
5850,30,Josh Jacobs,RB,27.5,GB
6813,30,Jonathan Taylor,RB,26.6,IND
5859,29,A.J. Brown,WR,28.2,PHI
11635,29,Ladd McConkey,WR,23.8,LAC
11563,27,Bo Nix,QB,25.5,DEN
4892,27,Baker Mayfield,QB,30.4,TB
8150,27,Kyren Williams,RB,25,LAR
9224,26,Chase Brown,RB,25.4,CIN
11628,25,Marvin Harrison,WR,23,ARI
9488,25,Jaxon Smith-Njigba,WR,23.5,SEA
4217,25,George Kittle,TE,31.9,SF
8155,24,Breece Hall,RB,24.2,NYJ
12507,24,Omarion Hampton,RB,22.5,LAC
8146,24,Garrett Wilson,WR,25.1,NYJ
8138,23,James Cook,RB,25.9,BUF
6801,23,Tee Higgins,WR,26.6,CIN
6797,23,Justin Herbert,QB,27.5,LAC
3321,22,Tyreek Hill,WR,31.5,MIA
5849,22,Kyler Murray,QB,28.1,ARI
4035,22,Alvin Kamara,RB,30.1,NO
5927,22,Terry McLaurin,WR,30,WAS
2216,22,Mike Evans,WR,32,TB
10859,21,Sam LaPorta,TE,24.6,DET
10229,21,Rashee Rice,WR,25.3,KC
8151,21,Kenneth Walker,RB,24.9,SEA
8183,21,Brock Purdy,QB,25.7,SF
11560,20,Caleb Williams,QB,23.8,CHI
3163,20,Jared Goff,QB,30.9,DET
7594,20,Chuba Hubbard,RB,26.2,CAR
12529,20,TreVeyon Henderson,RB,22.9,NE
2133,20,Davante Adams,WR,32.7,LAR
11564,19,Drake Maye,QB,23,NE
12526,19,Tetairoa McMillan,WR,22.4,CAR
4983,19,DJ Moore,WR,28.4,CHI
9758,18,C.J. Stroud,QB,23.9,HOU
3294,16,Dak Prescott,QB,32.1,DAL
5846,16,DK Metcalf,WR,27.7,PIT
4137,16,James Conner,RB,30.3,ARI
7525,15,DeVonta Smith,WR,26.8,PHI
12489,15,RJ Harvey,RB,24.6,DEN
12530,15,Travis Hunter,WR,22.3,JAX
11624,15,Xavier Worthy,WR,22.3,KC
5844,15,T.J. Hockenson,TE,28.2,MIN
6804,14,Jordan Love,QB,26.8,GB
5045,14,Courtland Sutton,WR,29.9,DEN
7591,14,Justin Fields,QB,26.5,NYJ
1466,14,Travis Kelce,TE,35.9,KC
4018,13,Joe Mixon,RB,29.1,HOU
9997,12,Zay Flowers,WR,25,BAL
5892,12,David Montgomery,RB,28.2,DET
11565,12,J.J. McCarthy,QB,22.6,MIN
8148,11,Jameson Williams,WR,24.4,DET
8137,11,George Pickens,WR,24.5,DAL
12512,11,Quinshon Judkins,RB,21.8,CLE
8205,11,Isiah Pacheco,RB,26.5,KC
7523,11,Trevor Lawrence,QB,25.9,JAX
12504,11,Kaleb Johnson,RB,22,PIT
11620,10,Rome Odunze,WR,23.2,CHI
6790,10,D'Andre Swift,RB,26.6,CHI
12518,10,Tyler Warren,TE,23.3,IND
7526,10,Jaylen Waddle,WR,26.8,MIA
5012,10,Mark Andrews,TE,30,BAL
4199,9,Aaron Jones,RB,30.7,MIN
5967,9,Tony Pollard,RB,28.3,TEN
8144,8,Chris Olave,WR,25.2,NO
4981,8,Calvin Ridley,WR,30.7,TEN
6783,8,Jerry Jeudy,WR,26.3,CLE
11559,8,Michael Penix,QB,25.3,ATL
9756,8,Jordan Addison,WR,23.6,MIN
12522,8,Cam Ward,QB,23.3,TEN
4066,7,Evan Engram,TE,31,DEN
7543,7,Travis Etienne,RB,26.6,JAX
8154,6,Brian Robinson,RB,26.4,SF
9228,6,Bryce Young,QB,24.1,CAR
11638,6,Ricky Pearsall,WR,25,SF
4033,6,David Njoku,TE,29.1,CLE
5947,6,Jakobi Meyers,WR,28.8,LV
12501,5,Matthew Golden,WR,22.1,GB
11655,5,Tyrone Tracy,RB,25.8,NYG
5872,4,Deebo Samuel,WR,29.6,WAS
6768,4,Tua Tagovailoa,QB,27.5,MIA
12517,4,Colston Loveland,TE,21.4,CHI
4037,4,Chris Godwin,WR,29.5,TB
421,4,Matthew Stafford,QB,37.6,LAR
8228,3,Jaylen Warren,RB,26.8,PIT
12514,3,Emeka Egbuka,WR,22.9,TB
7049,3,Jauan Jennings,WR,28.1,SF
8134,3,Khalil Shakir,WR,25.6,BUF
1373,3,Geno Smith,QB,34.9,LV
4039,3,Cooper Kupp,WR,32.2,SEA
2449,3,Stefon Diggs,WR,31.7,NE
12481,3,Cam Skattebo,RB,23.6,NYG
9484,3,Tucker Kraft,TE,24.8,GB
9753,3,Zach Charbonnet,RB,24.6,SEA
10236,3,Dalton Kincaid,TE,25.9,BUF
10222,3,Jayden Reed,WR,25.3,GB
4943,3,Sam Darnold,QB,28.2,SEA
8408,2,Jordan Mason,RB,26.3,MIN
7553,2,Kyle Pitts,TE,24.9,ATL
4144,2,Jonnu Smith,TE,30,PIT
7588,2,Javonte Williams,RB,25.3,DAL
9500,2,Josh Downs,WR,24,IND
8110,2,Jake Ferguson,TE,26.6,DAL
6806,2,J.K. Dobbins,RB,26.7,DEN
12484,1,Jayden Higgins,WR,22.7,HOU
6819,1,Michael Pittman,WR,27.9,IND
6803,1,Brandon Aiyuk,WR,27.4,SF
7528,1,Najee Harris,RB,27.5,LAC
5022,1,Dallas Goedert,TE,30.7,PHI
7611,1,Rhamondre Stevenson,RB,27.5,NE
11637,1,Keon Coleman,WR,22.3,BUF
12457,1,Jaydon Blue,RB,21.6,DAL
8136,1,Rachaad White,RB,26.6,TB
1339,1,Zach Ertz,TE,34.8,WAS
11589,1,Trey Benson,RB,23.1,ARI
12519,1,Luther Burden,WR,21.7,CHI
96,1,Aaron Rodgers,QB,41.7,PIT
12509,1,Tre' Harris,WR,23.5,LAC
4988,1,Nick Chubb,RB,29.7,HOU
4663,1,Austin Ekeler,RB,30.3,WAS
12533,1,Jacory Croskey-Merritt,RB,24.4,WAS
8676,1,Rashid Shaheed,WR,27,NO
9494,1,Marvin Mims,WR,23.4,DEN
9229,1,Anthony Richardson,QB,23.3,IND
7090,1,Darnell Mooney,WR,27.8,ATL
1234,1,Russell Wilson,QB,36.7,NYG
9508,1,Tyjae Spears,RB,24.2,TEN
9225,1,Tank Bigsby,RB,23,JAX
8131,0,Isaiah Likely,TE,25.4,BAL
12490,0,Bhayshul Tuten,RB,23.5,JAX
7571,0,Rashod Bateman,WR,25.7,BAL
3214,-0,Hunter Henry,TE,30.7,NE
4950,-0,Christian Kirk,WR,28.8,HOU
12508,-1,Jaxson Dart,QB,22.3,NYG
12547,-1,Kyle Williams,WR,22.8,NE
11576,-1,Braelon Allen,RB,21.6,NYJ
11575,-1,Ray Davis,RB,25.8,BUF
1479,-1,Keenan Allen,WR,33.3,LAC
11651,-1,Isaac Guerendo,RB,25.2,SF
8132,-1,Tyler Allgeier,RB,25.4,ATL
12469,-1,Dylan Sampson,RB,21,CLE
5870,-2,Daniel Jones,QB,28.3,IND
9480,-2,Brenton Strange,TE,24.7,JAX
1689,-2,Adam Thielen,WR,35,MIN
8143,-2,Jerome Ford,RB,26,CLE
12545,-2,Tyler Shough,QB,25.9,NO
12483,-2,Jack Bech,WR,22.7,LV
12498,-2,Mason Taylor,TE,21.3,NYJ
5848,-2,Hollywood Brown,WR,28.2,KC
10444,-2,Cedric Tillman,WR,25.4,CLE
7600,-2,Pat Freiermuth,TE,26.8,PIT
7670,-2,Joshua Palmer,WR,25.9,BUF
19,-2,Joe Flacco,QB,40.6,CLE
8126,-3,Wan'Dale Robinson,WR,24.6,NYG
8210,-3,Chig Okonkwo,TE,26,TEN
8111,-3,Cade Otton,TE,26.4,TB
11626,-3,Xavier Legette,WR,24.6,CAR
12495,-3,Ollie Gordon,RB,21.6,MIA
9501,-3,DeMario Douglas,WR,24.7,NE
4993,-3,Mike Gesicki,TE,29.9,CIN
7021,-3,Rico Dowdle,RB,27.2,CAR
11643,-3,Jaylen Wright,RB,22.4,MIA
12524,-3,Shedeur Sanders,QB,23.6,CLE
4098,-3,Kareem Hunt,RB,30.1,KC
11618,-3,Jalen McMillan,WR,23.7,TB
2505,-4,Darren Waller,TE,33,MIA
12541,-4,Dont'e Thornton,WR,22.7,LV
8121,-4,Romeo Doubs,WR,25.4,GB
10235,-5,Roschon Johnson,RB,24.6,CHI
12492,-5,Pat Bryant,WR,22.7,DEN
11586,-5,Blake Corum,RB,24.8,LAR
12521,-5,Elijah Arroyo,TE,22.4,SEA
9754,-5,Quentin Johnston,WR,24,LAC
5001,-5,Dalton Schultz,TE,29.1,HOU
5995,-5,Justice Hill,RB,27.8,BAL
1426,-6,DeAndre Hopkins,WR,33.2,BAL
11577,-6,Will Shipley,RB,23,PHI
12474,-6,Woody Marks,RB,24.7,HOU
12499,-6,Elic Ayomanor,WR,22.2,TEN
12535,-6,Isaac TeSlaa,WR,23.5,DET
11600,-6,Ja'Tavion Sanders,TE,22.4,CAR
12510,-6,Jalen Milroe,QB,22.7,SEA
8142,-7,Alec Pierce,WR,25.3,IND
11562,-7,Spencer Rattler,QB,24.9,NO
12471,-7,DJ Giddens,RB,22,IND
12476,-7,Devin Neal,RB,22,NO
11597,-7,Theo Johnson,TE,24.5,NYG
12536,-8,Jaylin Noel,WR,23,HOU
11646,-9,Jalen Coker,WR,23.8,CAR
2374,-9,Tyler Lockett,WR,32.9,TEN
12487,-9,Terrance Ferguson,TE,22.5,LAR
12534,-9,Kyle Monangai,RB,23.2,CHI
10232,-9,Michael Wilson,WR,25.5,ARI
7002,-10,Juwan Johnson,TE,29,NO
9511,-10,Keaton Mitchell,RB,23.6,BAL
12497,-10,Tory Horton,WR,22.7,SEA
6826,-10,Cole Kmet,TE,26.5,CHI
6151,-10,Miles Sanders,RB,28.3,DAL
1166,-10,Kirk Cousins,QB,37,ATL
2309,-11,Amari Cooper,WR,31.2,LV
12505,-11,Jalen Royals,WR,22.5,KC
12543,-11,Tahj Brooks,RB,23.3,CIN
7587,-11,Dyami Brown,WR,25.8,JAX
11569,-11,Jarquez Hunter,RB,22.7,LAR
12455,-12,Brashard Smith,RB,22.4,KC
8125,-12,Calvin Austin,WR,26.4,PIT
7828,-12,Noah Gray,TE,26.3,KC
6149,-12,Darius Slayton,WR,28.6,NYG
2749,-13,Raheem Mostert,RB,33.4,LV
12506,-13,Harold Fannin,TE,21.1,CLE
11581,-13,MarShawn Lloyd,RB,24.6,GB
11625,-13,Adonai Mitchell,WR,22.9,IND
11630,-13,Roman Wilson,WR,24.2,PIT
12467,-14,Jordan James,RB,21.4,SF
9506,-14,Sean Tucker,RB,23.8,TB
3271,-15,Tyler Higbee,TE,32.7,LAR
8180,-16,Jalen Nailor,WR,26.5,MIN
12641,-16,Jaylin Lane,WR,23.3,WAS
11627,-16,Troy Franklin,WR,22.6,DEN
9757,-16,Kendre Miller,RB,23.2,NO
7561,-16,Elijah Mitchell,RB,27.3,KC
12493,-17,Oronde Gadsden,TE,22.2,LAC
10226,-17,Andrei Iosivas,WR,25.9,CIN
11596,-17,Ben Sinnott,TE,23.2,WAS
11557,-17,Joe Milton,QB,25.5,DAL
5133,-17,Tyler Conklin,TE,30.1,LAC
5937,-17,Diontae Johnson,WR,29.1,NA
12531,-17,Trevor Etienne,RB,21.1,CAR
9486,-17,Dontayvion Wicks,WR,24.2,GB
2306,-18,Jameis Winston,QB,31.6,NYG
11623,-18,Jordan Whittington,WR,24.9,LAR
8160,-18,Kenny Pickett,QB,27.2,LV
11834,-18,Devaughn Vele,WR,27.7,NO
5857,-19,Noah Fant,TE,27.8,CIN
4381,-19,Taysom Hill,TE,35,NO
5010,-19,Will Dissly,TE,29.1,LAC
7562,-19,Tutu Atwell,WR,25.9,LAR
9482,-19,Michael Mayer,TE,24.1,LV
9504,-19,Kayshon Boutte,WR,23.3,NE
7596,-20,Elijah Moore,WR,25.4,BUF
11439,-20,Jaleel McLaughlin,RB,25,DEN
12520,-20,Xavier Restrepo,WR,23.4,TEN
5086,-20,Marquez Valdes-Scantling,WR,30.9,SF
6845,-20,Zack Moss,RB,27.7,NA
12456,-20,Player Invalid,WR,NA,NA
1837,-20,Jimmy Garoppolo,QB,33.8,LAR
12670,-20,KeAndre Lambert-Smith,WR,23.9,LAC
11603,-20,AJ Barner,TE,23.3,SEA
8129,-20,Dameon Pierce,RB,25.5,HOU
12503,-20,Isaiah Bond,WR,21.5,CLE
4171,-21,Josh Reynolds,WR,30.5,NYJ
11435,-21,Emanuel Wilson,RB,26.3,GB
5096,-21,Ray-Ray McCloud,WR,28.9,ATL
8917,-21,KaVontae Turpin,WR,29.1,DAL
6828,-21,A.J. Dillon,RB,27.3,PHI
12486,-21,Dillon Gabriel,QB,24.7,CLE
8167,-21,Christian Watson,WR,26.3,GB
12502,-21,Gunnar Helm,TE,23,TEN
7538,-21,Zach Wilson,QB,26.1,MIA
6039,-21,Ty Johnson,RB,27.9,BUF
11610,-21,Malik Washington,WR,24.6,MIA
7496,-22,Nick Westbrook-Ikhine,WR,28.4,MIA
2197,-22,Brandin Cooks,WR,31.9,NO
5906,-22,Dawson Knox,TE,28.8,BUF
10213,-22,Tre Tucker,WR,24.5,LV
12511,-22,Will Howard,QB,23.9,PIT
4147,-22,Samaje Perine,RB,29.9,CIN
8161,-22,Malik Willis,QB,26.3,GB
12458,-22,Deion Burks,WR,NA,NA
6130,-22,Devin Singletary,RB,28,NYG
11571,-22,Isaiah Davis,RB,23.5,NYJ
12738,-22,Phil Mafah,RB,22.8,DAL
3286,-22,Demarcus Robinson,WR,30.9,SF
8162,-22,Sam Howell,QB,24.9,PHI
9502,-22,Tank Dell,WR,25.8,HOU
8117,-23,Jalen Tolbert,WR,26.5,DAL
12500,-23,Quinn Ewers,QB,22.5,MIA
12496,-23,Tai Felton,WR,22.5,MIN
9481,-23,Luke Musgrave,TE,25,GB
7608,-23,Khalil Herbert,RB,27.4,NA
6111,-23,Jake Browning,QB,29.4,CIN
5185,-23,Allen Lazard,WR,29.7,NYJ
11579,-23,Audric Estime,RB,22,NA
12540,-24,Chimere Dike,WR,23.7,TEN
4234,-24,Noah Brown,WR,29.6,WAS
4972,-24,Mason Rudolph,QB,30.1,PIT
7527,-24,Mac Jones,QB,27,SF
11640,-24,Jermaine Burton,WR,24.2,CIN
11650,-24,Luke McCaffrey,WR,24.4,WAS
5550,-24,John David Moore,RB,30.2,NA
3202,-24,Austin Hooper,TE,30.8,NE
9496,-24,Sam James,WR,25.8,NA
12462,-24,Damien Martinez,RB,21.6,SEA
